City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
INDORE,9348.39,7146.41,5647.56,4659,3707,1808,1276
SURAT,9348.39,6924.84,5519.59,3861,3318,1762,1605
NAVI MUMBAI,9240.3,6852.91,5467.89,4129,3536,1705,1530
VISAKHAPATNAM,8879.3,6701.18,4918.44,3744,3547,1797,1643
BHOPAL,8855.2,6608.41,5066.31,3794,3689,1800,1336
VIJAYAWADA,8751.3,6699.3,5270.32,3882,3580,1624,1284
NEW DELHI (NDMC),8728.3,6550.04,5193.27,4191,3597,1708,1704
GREATER HYDERABAD,8601.3,5612.68,4047.01,3455,3092,1605,1355
PUNE,8595.2,5708.42,4477.31,3446,3471,1660,1533
RAIPUR,8540.2,5395.31,4098.72,3393,0,1175,818
PIMPRI CHINCHWAD,8536.7,5051.48,3945.1,3228,2935,1320,1559
AHMEDABAD,8041.5,5720.87,5207.13,4137,3373,1657,1452
GWALIOR,7994.7,5204.96,4696.36,3148,3083,1545,1235
JABALPUR,7760.9,4677.88,4368.55,3667,3096,1609,872
THANE,7520.3,5308.01,4606.35,3181,2967,1206,1367
RAJKOT,7465.8,5846,5157.36,4000,3000,1638,1574
NASHIK,7372.2,4991.86,4729.46,3093,2786,1106,1232
VADODARA,7344.2,5285.67,4870.34,3000,2925,1703,1511
GHAZIABAD,7222.5,5387.67,4283.26,3877,2993,672,820
VARANASI,7107.1,4734.69,3684.2,3063,3052,1515,839
LUCKNOW,7009,5209.69,4728.28,0,0,860,1237
AURANGABAD,6737.8,4145.17,3729.63,0,0,794,981
KALYAN DOMBIVALI,6583.3,4383.47,4091,3013,2597,919,858
PRAYAGRAJ,6433,5267.06,4141.47,0,0,894,1323
KANPUR,6409.6,4165.43,3783.88,3113,2771,1053,1090
PATNA,6320.9,3337.28,1552.11,0,0,880,746
AGRA,6164.6,4441.29,4391.51,2970,0,879,1081
NAGPUR,6163.8,4171.92,4345.06,3160,2835,1158,1348
MEERUT,5850.4,5283.65,2314.59,0,0,708,760
BENGALURU,5520.1,2892.98,2656.82,0,0,968,1182
AMRITSAR,5181.8,4069.77,2459.31,0,0,883,1062
RANCHI,4946.7,3068.1,3431,3319,3146,1204,874
VASAI VIRAR,4844.7,4306.77,3268.37,3448,2804,1142,1215
JAIPUR HERITAGE (MC),4685.5,4230.96,0,0,0,0,0
JAIPUR GREATER (MC),4679.6,3877.28,3660.39,3366,2971,954,1236
COIMBATORE,4496.6,2899.11,2337.12,3412,3292,1650,1361
GREATER MUMBAI,4446.2,4078.68,3106.39,3277,3175,1535,1534
CHENNAI,4313.8,2866.14,2010.93,3118,2586,916,1194
LUDHIANA,4139.8,3005.07,3113.06,0,0,1139,1222
DHANBAD,4060.7,3527.44,3226.31,3190,2848,1219,464
SRINAGAR,3932.4,2986.75,2905.58,0,0,909,1072
MADURAI,3011.2,2250.77,2255.81,0,0,1394,1245
FARIDABAD,2350.6,3492.94,2646.69,0,0,1277,1037
AMBIKAPUR,0,6365.01,5428.31,4394,3459,1653,0
Karad,0,0,5366.05,0,2845,0,0
MYSORE,0,6566.44,5298.61,4379,3540,1743,1749
SASVAD,0,5534.61,5270.26,3728,2886,0,0
LONAVALA,0,5989.96,5187.78,4041,2960,0,0
CHANDRAPUR,0,5217.91,5178.93,3604,2610,1315,0
KHARGONE,0,5053.41,5158.36,3798,3297,1639,0
NAWANSHAHR,0,5198.03,5145.17,3556,0,0,0
TIRUPATI,0,6583.71,5142.76,0,3576,1704,0
JAMSHEDPUR,0,5559.51,5133.2,3806,3047,0,827
PANHALA,0,5543.29,5120.94,3886,2773,0,0
JEJURI,0,4850.35,5110.78,3249,0,0,0
SHIRDI,0,5127.72,5063.99,0,3055,1397,0
GANDHINAGAR,0,5476.8,5056.72,3757,3096,1613,1133
MAUDA CT,0,4499.27,5033.21,0,0,0,0
CHANDIGARH,0,6208.52,4970.07,3787,3649,1701,1716
KAGAL,0,5305.27,4963.07,3466,0,0,0
RATNAGIRI,0,4991.09,4961.27,3516,2844,0,0
BRAHMAPURI,0,4855.93,4936.59,0,0,0,0
VADGAON,0,5384.54,4901.25,3744,0,0,0
DHULE,0,4885.63,4896.99,2858,2664,1187,0
GADHINGLAJ,0,5436.57,4895.45,3481,2796,0,0
INDAPUR,0,5424.12,4888.36,3752,2778,0,0
RAJNANDGAON,0,4880.85,4887.5,3391,2807,1074,0
BILASPUR,0,5407.03,4875.74,3617,3136,1039,0
DEOLALI PRAVARA,0,5680.94,4849.85,0,0,0,0
UJJAIN,0,5775.76,4826.53,4244,3198,1691,0
RAIGARH,0,5116.84,4808.37,3374,2836,1223,0
BURHANPUR,0,5004.88,4791.18,0,2644,1156,0
RAJAPUR,0,5119.61,4767.52,0,2752,0,0
VITA,0,5772.55,4764.28,3970,2896,0,0
MURGUD,0,5406.54,4736.62,3599,0,0,0
PATAN (NP),0,6238.97,4732.12,0,0,0,0
SINGRAULI,0,5464.27,4703.93,3763,3122,1414,0
CHHINDWARA,0,5911.98,4691.03,3636,2944,1410,0
DUNGARPUR (M),0,5290.87,4688.46,0,0,0,0
SHAHGANJ,0,5107.87,4672.97,3923,0,0,0
KARNAL,0,4284.23,4655.07,3736,2958,1348,0
JASHPUR NAGAR (M),0,5357.05,4623.17,0,0,0,0
NARKHED,0,5413.96,4622.2,3296,0,0,0
AMBARNATH,0,3280.78,4614.04,3575,0,1272,0
MIRA-BHAYANDAR,0,5967.4,4608.14,3622,2903,1172,0
PANVEL,0,5583.64,4599.74,2969,2619,1065,0
MATHERAN,0,4733.22,4599.28,0,2892,0,0
MALKAPUR_S,0,5426.45,4596.7,3231,0,0,0
NARHARPUR (NP),0,4390.6,4586.4,0,0,0,0
KHANDWA,0,5702.29,4560.77,2908,2588,1319,0
JALNA,0,3365.6,4535.17,0,0,626,0
PITHAMPUR,0,5478.74,4534.9,3273,2796,1352,0
BALLARPUR,0,5207.35,4534.22,0,0,0,0
KHED,0,5154.38,4511.73,0,2746,0,0
MUL,0,4393.88,4500.35,4028,2822,0,0
MAHABALESHWAR,0,4919.89,4478.56,3783,2929,0,0
MAHAD,0,5116.7,4458.45,3462,2895,0,0
BADNAWAR,0,4880.84,4454.49,0,0,0,0
TASGAON,0,5282.43,4447.71,3517,2788,0,0
OMKARESHWAR,0,4320.24,4436.16,0,0,1489,0
KATNI,0,5219.06,4405.82,2872,0,0,0
NOIDA,0,6332.2,4403.22,0,0,0,0
BHIWANDI NIZAMPUR,0,3551.79,4396.12,2972,2595,571,0
JAMNER,0,4745.49,4392.87,0,2827,0,0
SHIRUR,0,5216.59,4388.81,3140,0,0,0
KAWARDHA (M),0,5236.53,4379.51,0,0,0,0
Jhansi,0,0,4365.01,3086,2805,1072,0
